Кто должен регистрироваться в Информационной системе маркировки и прослеживаемости товраов (ИС МПТ)?,В Информационной системе маркировки и прослеживаемости товраов (ИС МПТ) регистрируются только производители и импортеры,
Как осуществляет регистрация в Информационной системе маркировки и прослеживаемости товраов (ИС МПТ)?,"Для регистрации в Информационной системе маркировки и прослеживаемости товраов (ИС МПТ) необходимо пройти по ссылке https://elk.prod.markirovka.ismet.kz/login-kep, заполнить данные и подписать два типовых договора публичной оферты с помощью ЭЦП первого руководителя юридического лица",
Как в Информационной системе маркировки и прослеживаемости товраов (ИС МПТ) регистрируются юридические лица-нерезиденты Казахстана?,"Для регистрации в Информационной системе маркировки и прослеживаемости товраов (ИС МПТ) юридическому лицу-нерезиденту Казахстана необходимо осуществить 3 шага:
1 получить ИИН первого руководителя (как физического лица)
2 получить БИН юридического лица
3 получить ЭЦП первого руководителя юридического лица",
Как лекарственное средств регистрируется в Национальном каталоге товаров (НКТ)?,"Для регистрации лекарственного средства в Национальном каталоге товаров (НКТ) Информационной системы ""Маркировки и прослеживаеомсти товаров"" необходимо заполнить карточку товара согласно инструкции размещенной на сайте https://markirovka.ismet.kz/ru/business/product/medicine. Далее карточка товара проходит модерацию, в ходе которой могут быть даны замечания для исправления. После успешной модерации карточка товара подписывается заявителем.",
В каких случая может быть отказано в регистрации карточки товара в Национальном каталоге (НКТ) Информационной системы маркировки и прослеживаеомсти товаров (ИС МПТ)?,"Участнику оборота лекарственных средсвт (УОЛС), регистрирующему карточку товара в Национальном каталоге товаров (НКТ) Информационной системы маркировки и прослеживаемости товраов (ИС МПТ) автоматически отказывается в регистрации лекарственных средств в следующих случаях:

      1) лекарственное средство с заявленным при регистрации кодом товара GTIN уже зарегистрировано в ИС МПТ;

      2) код товара GTIN по данным информационной системы ассоциации GS Kazakhstan не подлежит использованию УОЛС;

      3) код товара GTIN по данным информационной системы международной организации GS1 не существует.",
Сколько занимает модерация карточки товара в Национальном каталоге (НКТ) Информационной системы маркировки и прослеживаеомсти товаров (ИС МПТ),Модерация карточки товара осуществляется в течении 3 рабочих дней,
Из чего состоит код маркировки?,"Код маркировки состоит из 4-х групп данных:
1-я группа - GTIN
1-я группа - индивидуальный серийный номер потребительской упаковки лекарственных средств
3-я группа -  идентификатор (индивидуальный порядковый номер) ключа проверки
4-я группа - код проверки",
Каков порядок эмиссии кодов маркировки?,"Для заказа кодов маркировки производителю или импортеру необходимо:
1 зарегистрироваться в Информационной системе ""Маркировки и прослеживаемости товаров"";
2 пополнить лицевойсчет;
3 сделать запрос на эмиссию кодов",
Как осуществляется заказ кодов маркировки в Информационной системы маркировки и прослеживаеомсти товаров (ИС МПТ)?,Участник оборота лекарственных средсвт (УОЛС) необходимо заполнить Запрос на получение кодов маркировки в Информационной системе маркировки и прослеживаемости товраов (ИС МПТ),
Может ли быть отказано в выдаче кодов?,"В выдаче кодов маркировки автоматически отказывается в следующих случаях:
      1) УОЛС не зарегистрирован в ИС МПТ;
      2) представленный код идентификации товара ранее зарегистрирован в ИС МПТ;
      3) код товара GTIN (ГТИН) не зарегистрирован в реестре товаров ИС МПТ и (или) не подлежит использованию УОЛС;
      4) код товара GTIN (ГТИН) не соответствует товарной группе ""Лекарственные средства"".",
Сколько формируются коды маркировки?,"Коды маркировки формируются в Информационной системе ""Маркировки и прослеживаемости товаров"" в течение 1 рабочего дня. Коды предоставляются в электронном формате",
Каковы следующие действия после эмиссии кодов?,"После эмиссии кодов маркировки производитель или импортер наносят коды на упаковки лекарственных средств, формируют отчет о нанесении, отчет об агрегации в модуле Станция управления заказами (СУЗ) Информационной системы ""Маркировки и прослеживаемости товаров"" (ИС МПТ)",
Какие данные заполняются при формировании отчета о нанесении?,"При формировании отчета о нанесении заполняются данные о дате нанесения кодов маркировки, а также номере серии/партии и сроке годности лекарственного средства",
Когда списываются денежные средства за коды маркировки?,Денежные средства за коды маркировки списываются в момент формирования отчета о нанесении,
Есть ли срок годности кодов маркировки?,Коды маркировки являются бессрочными.,
Можно ли использовать не оплаченные коды маркировки?,"Без наличия денежных средств на лицевом счету возможно сформировать отчет о нанесении. Однако далее никаких действий с кодами, за которые не была списана плата, осуществить не возможно.
Дальнейшая работа с такими кодами маркировки возможна только после списания денежных средств за них.",
Какова стоимость кода маркировки?,"Согласно Приказа МЗ РК от 18 июля 2023 года №134 ""Об определении предельного размера стоимости контрольного (идентификационного)
знака, средства идентификации, применяемых в маркировке лекарственных средств"" стоимость кода маркировки составляет 2,40 тенге без учета НДС",
Как произвести оплату за коды маркировки?,"Для пополнения лицевого счета необходимо:
1 сформировать счет на оплату на платформе ISMET
2 осуществить банковский перевод денежных средств (тенге, доллары США, евро, рубли)",
В каких валютах возможно пополнить оплатить коды маркировки?,"Оплата за коды маркировки возможна в тенге, долларах США, евро, рублях",
Как получить закрывающие бухгалтерские документы по оплаченным кодам маркировки?,"По окончании каждого Расчётного периода, а именно не позднее 15 (пятнадцатого) числа месяца, следующего за Расчетным периодом, Единый оператор передает Клиенту акт выполненных работ/оказанных услуг на подписание посредством открытой цифровой платформы www.ismet.kz и не позднее 15 (пятнадцатого) числа месяца, следующего за Расчетным периодом, посредством веб-портала электронных счетов-фактур www.esf.gov.kz направляет счет-фактуру. По запросу Клиента, но не чаще, чем 1 раз в квартал, Единым оператором предоставляется акт сверки. Акты выполненных работ/оказанных услуг и акты сверки формируются и передаются Стороне в электронном виде посредством электронного документооборота на открытой цифровой платформе www.ismet.kz Оператора и подписываются Сторонами с помощью ЭЦП.",
Возможно ли внесение изменений и дополнений в типовые договора оферты?,"АО ""Казахтелеком"" определено Единым оператором маркировки и прослеживаемости товаров в соответствии с Постановлением Правительства Республики Казахстан от 3 марта 2020 года № 95. 
В соответствии с условиями Типового договора на подключение к информационной системе и Типового договора предоставления доступа к слугам Единого оператора маркировки и прослеживаемости товаров, утвержденных Приказом АО ""Казахтелеком"" (далее – Договоры), настоящие Договоры являются договорами присоединения в соответствии с законодательством Республики Казахстан. Условия указанных Договоров принимаются Клиентом не иначе, как путем присоединения к настоящему Договору в целом, в виде подписания заявления о присоединении (Приложение №1 к Договору). Тексты Договоров являются публичной офертой.
Согласно статье 389 Гражданского Кодекса Республики Казахстан, договором присоединения признается договор, условия которого определены одной из сторон в формулярах или иных стандартных формах и могут быть приняты другой стороной не иначе как путем присоединения к предложенному договору в целом.
Таким образом, при подписании заявления о присоединении к Договору, клиент подтверждает, что полностью и безусловно присоединяется к Договору. Подписание дополнительных соглашений к Договору на основании каких-либо внутренних правил клиентов либо изменение или дополнение Договора не предусмотрено.",
Возможно ли подписание типовых договоров оферты на бумаге?,На бумаге возможно подписание типового договора на доступ к услугам Единого оператора (закуп кодов) для юридических лиц-нерезидентов Республики Казахстан,
Возможен ли отказ в формировании отчета о нанесении?,"В регистрации сведений о нанесении средств идентификации автоматически отказывается в следующих случаях:
      1) коды идентификации товаров, отсутствуют в реестре средств идентификации ИС МПТ;
      2) сведения о кодах идентификации представлены с нарушением;
      3) отсутствует подтверждение оплаты кодов маркировки.",
Возможен ли повтор кодов маркировки?,"Информационная система ""Маркировки и прослеживаемости товаров"" повторно не формирует (генерирует) код маркировки.",
Кем наносятся коды маркировки?,"при производстве на территории Республики Казахстан - отечественными производителями лекарственных средств;
при производстве за за пределами Республики Казахстан (иностранное производство):
      1) держателями регистрационных удостоверений лекарственных средств или иностранными производителями лекарственных средств или их уполномоченными представительствами и (или) филиалами или дочерними организациями на территории Республики Казахстан;
      2) импортерами, осуществляющими ввоз лекарственных средств на территорию Республики Казахстан.",
Есть ли какие-либо требования к качеству кода маркировки?,"Код маркировки наносится в виде двумерного матричного штрих кода в формате Data Matrix (Дата Матрикс), представляющий собой черно-белые элементы или элементы нескольких различных степеней яркости, наносимые в форме квадрата, размещенные в прямоугольной или квадратной группе, предназначенные для кодирования текста или данных других типов, пригодного для машинного считывания, с обязательным указанием в виде читаемого печатного текста сведений о коде товара GTIN и уникальном серийном номере данного лекарственного средства, содержащихся в средстве идентификации.
      Перед информацией в виде читаемого текста о коде товара GTIN и уникальном серийном номере лекарственного средства на добровольной основе указываются коды применения, представляющие собой набор из 2 (двух) или более знаков, расположенные в начале элементной строки и однозначно определяющие назначение, и формат поля данных, для использования введения ручного ввода кода идентификации товара УОЛС.
Техническими условиями к качеству нанесения кода маркировки на упаковку лекарственных средств являются:
      1) нанесение печатью с использованием метода коррекции ошибок ЕСС-200 (ЕЦЦ-200);
      2) использование ASCII (АСЦII) кодирования;
      3) качество печати соответствует классу С или выше.",
Какие технические требования предъявляются коду маркировки?,"Техническими условиями к качеству нанесения средств идентификации на упаковку лекарственных средств являются:
      1) нанесение печатью с использованием метода коррекции ошибок ЕСС-200 (ЕЦЦ-200);
      2) использование ASCII (АСЦII) кодирования;
      3) качество печати соответствует классу С или выше.",
Как наносится код маркировки на упаковку лекарственного средства?,"Код маркировки наносится прямым способом (печатается) либо методом стикетирования (код маркировки распечатывается на стикерах (наклейках), стикер наклеивается  на упаковку лекарственного средства). Стикер должен отвечать требованиям разрушаемости при отделении от упаковки лекарственного средства.
Также, код маркировки или стикер, содержащий код маркировки, не должны размещаться на оберточную пленку или другой внешний оберточный материал.",
Что такое агрегация?,"Агрегация - это объединение потребительских упаковок лекарственных средств в транспортную упаковку.
При этом агрегационный код содержит информацию о всех вложенных в него упаковках лекарственных средств.",
Что такое агргационный код?,"Код идентификации транспортной упаковки в виде линейного штрихового кода, соответствующего стандарту международной организации в области стандартизации учета и штрихового кодирования логистических единиц ГС1-128, с уникальным идентификатором транспортной упаковки в виде серийного кода, представленный в виде цифрового номера SSCC код и идентифицируется кодом применения AI=’00’.",
Используется ли код маркировки для транспортных упаковок?,"Нет, код маркировки используется только для упаоковк (первичных, промежуточных, вторичных) лекарственных средств. 
Для маркировки транспортных коробов используется агрегационный код.",
Как формируется агрегационный код?,"Агрегационный код не формируется в Информационной системе ""Маркировки и прослеживаемости товаров"" (ИС МПТ). Агрегацонный код формируется на сторонних сервисах и используются в ИС МПТ при формированнии агрегатов и отчетов по ним.",
Какие виды агргирования бывают?,"Агрегирование осуществляется при наличии нескольких уровней вложенности:
      1) агрегирование первого уровня – объединение первичных и (или) вторичных упаковок в транспортную упаковку;
      2) агрегирование второго уровня – объединение транспортных упаковок в другую транспортную упаковку вышестоящего уровня вложенности.",
Создание агрегатавозможно только для одного вида лекарственного средства (одного GTIN)?,"Возможна агрегация как одного вида лекарственного средства в один транспортный короб, так и агрегация двух и более видов лекарственных средств в один транспорный короб.",
Содержит ли агрегационный код информацию о вложенных в него кодах маркировки упаковок лекарственных средств либо коробов нижестоящего уровня?,Агрегационный код содержит в себе информацию о вложенных в него кодах маркировки упаковок лекарственных средств либо коробов нижестоящего уровня,
"Возможно ли довложение или изъятие кодов маркировки упаковок лекарственных средств в агрегационные коды транспортных коробов, агрегационных кодов в транспортные короба вышестоящего уровня (паллеты)?","Возможно, функционал подсистемы Центр электронного документооборта маркированных товаров (ЦЭДМ) позволяет осуществлять довложение и изъятие кодов маркировки упаковк лекарственных средств в агрегате, а также агрегационных кодов транспортных коробов в агрегаты вышастоящего уровня (паллеты).",
В каких случаях происходит дезагрегирование транспортного короба? ,Дезагрегирование транспортного короба происходит при изъятии последней упаковки лекарственного средства,
Как осуществляется прослеживаемость маркированных лекарственных средств?,"Прослеживаемость лекарственных средств, маркированных средствами идентификации, обеспечивается путем представления участниками оборота лекарственных средств (УОЛС) сведений о вводе в оборот, о реализации и (или) передачи, а также о выводе из оборота промаркированных лекарственных средств на территории Республики Казахстан",
В какой системе осуществляется прослеживаемость маркированных лекарственных средств?,Прослеживаемость осуществляется  в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ),
Для чего предназначена подсистема Центр электронного документооборота маркированных товаров (ЦЭДМ),"подсистема Центр электронного документооборота маркированных товаров (ЦЭДМ) (https://edo.markirovka.kz), предназначена для работы всех участников оборота лекарственных средств по принятию и формированию электронных документов прослеживаемости маркированных лекарственных средств.",
Что является вводом в оборот?,"Вводом в оборот является:
1) при производстве лекарственных средств на территории Республики Казахстан - первичная передача лекарственных средств от производителя другому участнику оборота лекарственных средств (УОЛС) с целью отчуждения такому лицу с формированием  в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ) акта приема-передачи;
2) при ввозе лекарственных средств с территории государств, не являющихся государствами - членами Евразийского экономического союза - выпуск таможенными органами Республики Казахстан лекарственных средств для внутреннего потребления по результатам направления в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ) уведомления о ввозе товаров в Республику Казахстан с территорий государств, не являющихся членами Евразийского экономического союза;
3) при ввозе лекарственных средств с территории государств членов Евразийского экономического союза - принятие на склад импортера в Республике Казахстан ввезенных лекарственных средств по результатам направления  в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ) сведений о подтверждении кодов идентификации, заявленных импортером в уведомлении о ввозе товаров в Республику Казахстан с территорий государств-членов Евразийского экономического союза.",
Как офрмляется передача маркированных лекарственных средств между участников оборота лекарственных средств?,"При реализации и (или) передаче маркированных лекарственных средств другому УОЛС отправитель лекарственных средств формирует акт приема (передачи) товаров, подписывает его ЭЦП в срок не позднее дня реализации лекарственных средств.

При реализации и (или) передаче маркированных лекарственных средств, Единым дистрибьютором в рамках ГОБМП и (или) в системе ОСМС акт приема (передачи) лекарственных средств формируется и подписывается уполномоченными представителями логистических компаний, оказывающих Единому дистрибьютору услуги по хранению и транспортировке лекарственных средств по договору гражданско-правового характера, на основании доверенности, выданной Единым дистрибьютором, сведения о которой содержатся в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ).",
что такое территориально-распределенное подразделение (ТРП)?,"территориально-распределенным подразделением является структурное подразделение, филиал юридического лица, которое осуществяляет свою деятельность под БИН этого юридического лица. Филиалы имеющие другой БИН не являются ТРП и работают в системе маркировки самостоятельно.",
Как работать при наличии филиалов у юридического лица?,Необходимо создать территориально-распределенное подразделение (ТРП) и передавать маркированные лекарственные средства актом внутреннего перемещения,
Возможна ли передача маркированных лекарственных средств между филиалами одного юридического лица?,Возможна. Для этого необходимо создать территориально-распределенное подразделение (ТРП) и передавать маркированные лекарственные средства актами внутреннего перемещения.,
В каких случая формируется акт приема-передачи Единого дистрибьютора (АПП ЕД)?,"Акт приема-передачи Единого дистрибьютора (АПП ЕД) формируется на маркированные лекарственные средства, поставляемые по договорам Единого дистрибьюттора в рамках ГОБМП и ОСМС.",
Кто формирует акты приема-передачи Единого дистрибьютора (АПП ЕД)?,"
Акты приема-передачи Единого дистрибьютора (АПП ЕД) формируют:
1 отечественные производители и импортеры, осуществляющие поставки маркированных лекарственных средств по договорам Единого дистрибьютора;
2 оптовые склады, оказывающие Единому дистрибьютору услуги по хранению и транспортировке лекарственных средств на основании доверенности, выданной Единым дистрибьютором, сведения о которой содержатся в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ);
3 медицинские организации, работающие в рамках ГОБМП и ОСМС.",
"Возможна ли передача маркированных лекарственных средств, поставляемых по договорам Единого дистрибьютора, обычным актом приема-передачи?","Нет, все лекарства передаваемые и получаемые участниками оборота ЛС в рамках договоров Единого дистрибьютора, передаются только актами приема-передачи Единого дистрибьютора.",
Как в системе маркировки различаются лекарственные средства Единого дистрибьютора и коммерческие лекарства?,"Коды маркировки лекарственных средств, поставляемых по договорам Единого дистрибьютора, в системе маркировки имеют метку skf",
Возможно ли в акт приема-передачи Единого дистрибьютора вложить лекарственные средства без метки skf?,"Отчетественные производители и импортеры, осуществляющие поставку лекарств по договорам Единого дистрибьютора, первоначально формируют акт приема-передачи Единого дистрибьютора (АПП ЕД) и вкладывают коды маркировки без метки  ",
"Возможно ли в акт приема-передачи вложить лекарственные средства, коды которых имеют метку skf?",В Акт приема-передачи нельзя вложить коды маркировки с меткой skf. Необходимо сформировать Акт Единого дистрибьютора. ,
Возможно ли вложить в один акт маркированные лекарственные средства с меткой skf и коммерческие лекарственные средства?,В один акт приема-передачи невозможно вложить коды маркировок с меткой skf и без метки skf. Необходимо формировать два акт: 1. Для кодов с меткой skf необходимо сформировать акт единого дистрибьютера. 2. Для кодов маркировок без метки skf необходимо сформировать акт приема-передачи. ,
Передается ли в систему Электронных счет-фактур инофрмация с системы маркировки?,"В систему Электронных счет-фактур передается информация об актах приема-передачи, в т.ч. количеству вложенных в акт лекарств. ",
Как осуществляется прием маркированных лекарственных средств?,Прием маркированных лекарственных средств подтверждается получателем с помощью ЭЦП.,
В течение какого срока необходимо принять маркированные лкарственные средства?,Согласно пункта 73 Правил маркировки (Приказ МЗ РК №КР ДСМ-11) прием маркированных лекарственных средств осуществляется в течение 1 (одного) рабочего дня с даты приемки до совершения дальнейших операций.,
"Что делать если данные в акте приема-передачи отличаются от данных по фактически поступивших лекарствах (например, отличается количество или наименования лекарств).","Такой акт может быть отклонен полностью. 
Также можно сформировать уведомление о расхождении, которое поступит отправителю лекарственных средств. Отправитель будет иметь возможность сформироать на основе такого уведомления о расхождении новый правильный акт приема-передачи.  В этом случае ранее направленные акт приема-передачи автоматически отзывается.",
Имеет ли возможность поставщик отозвать акт приема-передачи?,Поставщик может отозвать акт приема-передачи в течение 20 дней в том случае если этот акт не принял (не подписал) получатель.,
Нужно ли формировать акт приема-передач на бумажном носителе?,"Акты приема-передач на бумажном носителе формируется в следующих случаях:
 1) по причине технического сбоя в ИС МПТ, подтвержденным Единым оператором маркировки и прослеживаемости товаров на своем интернет-ресурсе;
 2) по обстоятельствам непреодолимой силы;
 3) по причине отсутствия либо приостановления подачи электрической энергии, подтвержденной энергопроизводящей, энергоснабжающей либо энергопередающей организации, технического сбоя, вызванного аварийным нарушением.

После устранения технических ошибок акт приема (передачи) лекарственных средств, оформленный ранее на бумажном носителе, вносится субъектом в сфере обращения лекарственных средств и медицинских изделий в ИС МПТ не позднее 1 (одного) рабочего дня с даты опубликования Оператором на собственном интернет-ресурсе информации об устранении технических ошибок в ИС МПТ. Оператор публикует информацию на собственном интернет-ресурсе об устранении технических ошибок в ИС МПТ в течение суток с момента их устранения.",
Как осуществляется вывод из оборота в аптечной организации?,"Субъект в сфере обращения лекарственных средств и медицинских изделий, реализующий лекарственные средства в розницу за наличный, безналичный расчет и (или) без оплаты получателем, осуществляет вывод их из оборота путем сканирования и распознавания средства идентификации, нанесенного на потребительскую упаковку лекарственного средства, техническими средствами, сопряженными с установленной у него контрольно-кассовой машиной.
Сведения о коде идентификации, содержащиеся в средстве идентификации, нанесенном на товар, включаются в фискальный документ ""кассовый чек"", формируемый контрольно-кассовой машиной, и передаются Оператору фискальных данных.

Оператор фискальных данных осуществляет передачу сведений в режиме реального времени в ИС МПТ по каждой реализованной товарной единице.
Вывод из оборота лекарственных средств в ИС МПТ осуществляется при розничной реализации на основании сведений, полученных от Оператора фискальных данных.",
В какие сроки формируетя уведомление о выводе из оборота?,"Субъект в сфере обращения лекарственных средств и медицинских изделий не позднее 3 (трех) рабочих дней, следующих за днем вывода лекарственных средств из оборота, представляет в ИС МПТ уведомление о выводе из оборота при выводе лекарственных средств из оборота по причинам:
      1) брака;
      2) утраты;
      3) повреждения;
      4) уничтожения;
      5) использования для собственных нужд предприятия;
      6) отбора образцов;
      7) для медицинского назначения;
      8) отпуска, по бесплатному рецепту;
      9) конфискации.",
